product_item_id,product_sku_id,sku,vehicle_make_id,title,make_name,vehicle_model_id,model_name,vehicle_engine_id,engine,hp,engine_code
1001,1,CF1AEF5F6D25,1,Turbina Audi A1 1.2 TFSI CBZA 86 CP - Turbina reconditionata 03f145701k,Audi,1,A1,1,1.2 TFSI,,UNKNOWN
1002,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 110 CP - Recondiţionată,Audi,2,A3,7,2.0 TDI,110,CRBC
1002,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 110 CP - Recondiţionată,Audi,2,A3,6,2.0 TDI,110,CRLB
1002,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 110 CP - Recondiţionată,Audi,2,A3,3,2.0 TDI,110,CRUA
1002,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 110 CP - Recondiţionată,Audi,2,A3,4,2.0 TDI,110,DBGA
1002,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 110 CP - Recondiţionată,Audi,2,A3,2,2.0 TDI,110,DCYA
1002,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 110 CP - Recondiţionată,Audi,2,A3,5,2.0 TDI,110,DEJA
1003,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 100 CP - Recondiţionată,Audi,2,A3,8,2.0 TDI,100,CRBD
1003,2,04L253010B,1,Turbina AUDI A3 2.0 TDI 100 CP - Recondiţionată,Audi,2,A3,9,2.0 TDI,100,CRLC
1004,2,04L253010B,1,Turbina AUDI A3 2.0 TDI quattro 110 CP - Recondiţionată,Audi,2,A3,12,2.0 TDI quattro,110,CRBC
1004,2,04L253010B,1,Turbina AUDI A3 2.0 TDI quattro 110 CP - Recondiţionată,Audi,2,A3,11,2.0 TDI quattro,110,CRLB
1004,2,04L253010B,1,Turbina AUDI A3 2.0 TDI quattro 110 CP - Recondiţionată,Audi,2,A3,10,2.0 TDI quattro,110,DCYA
1005,2,04L253010B,1,Turbina AUDI ASeria 3 Cabrio 2.0 TDI 110 CP - Recondiţionată,Audi,3,ASeria 3 Cabrio,14,2.0 TDI,110,CRLB
