turbo_code_id,code
1,9V202 ARTNR_Z_TCD
2,03F145701H VAG
3,03F145701HV VAG
4,03F145701HX VAG
5,03F145701K VAG
6,03F145701KV VAG
7,03F145701KX VAG
8,03F145701R VAG
9,03F145701RV VAG
10,03F145701RX VAG
11,03F145701H VW
12,030TC11002000
13,11002000
14,40002509
15,40006077
16,401TN100111
17,04L253010B
18,04L253010BV
19,04L253010BX
20,04L253010T
21,04L253010TV
22,04L253010TX
23,04L253019Q
24,04L253019QV
25,04L253019QX
26,04L253020M
27,728989*
28,728989-0001
29,728989-0002*
30,728989-0003
31,728989-0007
32,728989-0009
33,728989-0010
34,728989-0015
35,728989-0016
36,728989-0018
37,728989-0019
38,728989-1
39,728989-10
40,728989-15
41,728989-16
42,728989-18
43,728989-19
44,728989-3
45,728989-5001S
46,728989-5002S*
47,728989-5003*
48,728989-5003S
49,728989-5007*
50,728989-5007S
51,728989-5009*
52,728989-5009S
53,728989-5010*
54,728989-5010S
55,728989-5015*
56,728989-5015S
57,728989-5016*
58,728989-5016S
59,728989-5018*
60,728989-5018S
61,728989-5019*
62,728989-5019S
63,728989-7
64,728989-9
65,728989-9019S
66,7289890022
67,7289895022S
68,7289899022S
69,11657790326
70,11657790326G
71,11657790326H
72,11657790326K08
73,11657790328
74,11657790328D
75,11657790328J
76,11657790328K08
77,11657794025
78,7790326
79,7790326G
80,7790326H
81,7790326K08
82,7790328
83,7790328D
84,7790328J
85,7794025
86,7794026
87,7794027
88,7794028
89,7794029
90,7794030
91,7794031
92,740821*
93,740821-0001
94,740821-0002
95,740821-1
96,740821-2
97,740821-5001*
98,740821-5001S
99,740821-5002*
100,740821-5002S
101,750030*
102,750030-0001
103,750030-0002
104,750030-1
105,750030-2
106,753420*
107,753420-0001*
108,753420-0002
109,753420-0003
110,753420-0004
111,753420-0005
112,753420-0006
113,753420-0007*
114,753420-1*
115,753420-2
116,753420-3
117,753420-4
118,753420-5
119,753420-5001S*
120,753420-5002*
121,753420-5002S
122,753420-5003*
123,753420-5003S
124,753420-5004*
125,753420-5004S
126,753420-5005*
127,753420-5005S
128,753420-5006*
129,753420-5006S
130,753420-5007S*
131,753420-500S
132,753420-6
133,753420-9005S*
134,753420-9005W
135,753420-9006*
136,753420-9006S
137,753420-9006W
138,7534209006s
139,753420-9006
140,11657804903
141,7804903
142,0375J3
143,0375J6
144,0375J7
145,0375J8
146,1231096
147,1319614
148,1355027
149,1441253
150,36000722
151,3M5Q6K682AA
152,3M5Q6K682AB
153,9650764480
154,9663199280
155,1254337
156,1340133
157,1465162
158,1789074
159,3M5Q6K682AC
160,3M5Q6K682AE
161,3M5Q6K682AG
