vehicle_engine_id,vehicle_model_id,engine,hp,engine_code
1,1,1.2 TFSI,,UNKNOWN
2,2,2.0 TDI,110,DCYA
3,2,2.0 TDI,110,CRUA
4,2,2.0 TDI,110,DBGA
5,2,2.0 TDI,110,DEJA
6,2,2.0 TDI,110,CRLB
7,2,2.0 TDI,110,CRBC
8,2,2.0 TDI,100,CRBD
9,2,2.0 TDI,100,CRLC
10,2,2.0 TDI quattro,110,DCYA
11,2,2.0 TDI quattro,110,CRLB
12,2,2.0 TDI quattro,110,CRBC
13,3,2.0 TDI,110,DCYA
14,3,2.0 TDI,110,CRLB
15,3,2.0 TDI,100,CRLC
16,3,2.0 TDI quattro,110,DCYA
17,3,2.0 TDI quattro,110,CRLB
18,4,2.0 TDI quattro,110,DCYA
19,4,2.0 TDI quattro,110,CRBC
20,4,2.0 TDI quattro,110,CRLB
21,4,35 TDI,110,DFGA
22,4,2.0 TDI,100,CRBD
23,4,2.0 TDI,100,CRLC
24,4,2.0 TDI,110,DFGA
25,4,2.0 TDI,110,DCYA
26,4,2.0 TDI,110,CRUA
27,4,2.0 TDI,110,DBGA
28,4,2.0 TDI,110,DEJA
29,4,2.0 TDI,110,CRLB
30,4,2.0 TDI,110,CRBC
31,5,2.0 TDI quattro,110,DCYA
32,5,2.0 TDI quattro,110,CRBC
33,5,2.0 TDI quattro,110,CRLB
34,5,2.0 TDI,110,DFGA
35,5,2.0 TDI,110,DCYA
36,5,2.0 TDI,110,CRUA
37,5,2.0 TDI,110,DBGA
38,5,2.0 TDI,110,DEJA
39,5,2.0 TDI,110,CRLB
40,5,2.0 TDI,110,CRBC
41,5,35 TDI,110,DFGA
42,5,2.0 TDI,100,CRBD
43,5,2.0 TDI,100,CRLC
44,6,2.0 TDI quattro,110,DFGA
45,6,2.0 TDI quattro,110,DTTC
46,6,2.0 TDI,110,DFGA
47,6,2.0 TDI,110,DTTC
48,6,35 TDI,110,DFGA
49,6,35 TDI,110,DTTC
50,6,35 TDI,110,DXRB
51,6,35 TDI quattro,110,DFGA
52,6,35 TDI quattro,110,DTTC
53,6,35 TDI quattro,110,DXRB
54,7,2.0 TDI,100,DFTB
55,7,2.0 TDI,100,CUVB
56,7,2.0 TDI,100,CFFA
57,7,2.0 TDI,110,CUVC
58,7,2.0 TDI,110,DBBA
59,7,2.0 TDI,110,DFTA
60,7,2.0 TDI quattro,110,CUVC
61,7,2.0 TDI quattro,110,DFTA
62,7,2.0 TDI,88,DFTC
63,7,2.0 TDI,88,CUVD
64,7,35 TDI quattro,110,DFGA
65,7,35 TDI quattro,110,DTSB
66,7,35 TDI quattro,110,DTSA
67,7,35 TDI,110,DFGA
68,7,35 TDI,110,DTSB
69,7,35 TDI,110,DTSA
70,7,35 TDI,110,DXPA
71,8,35 TDI,110,DFGA
72,8,35 TDI,110,DTSB
73,8,35 TDI,110,DTSA
74,8,35 TDI,110,DXPA
75,8,35 TDI quattro,110,DFGA
76,8,35 TDI quattro,110,DTSB
77,8,35 TDI quattro,110,DTSA
78,9,2.0 TDI 4Drive,110,DFLA
79,9,2.0 TDI 4Drive,110,CUVC
80,9,2.0 TDI 4Drive,110,DLTA
81,9,2.0 TDi 4Drive,130,DLUB
82,9,2.0 TDI,85,CFFE
83,9,2.0 TDI,85,CUVA
84,9,2.0 TDI,85,DLTC
85,9,2.0 TDI,85,DFLD
86,9,2.0 TDI,110,DLTA
87,9,2.0 TDI,110,DFLA
88,9,2.0 TDI,110,CUVC
89,10,TDI 4Drive,110,CUVC
90,10,TDI,110,CUVC
91,10,TDI,110,DFLA
92,11,2.0 TDI 4Drive,110,DFFA
93,11,2.0 TDI 4Drive,110,DTTC
94,11,2.0 TDI,105,CRVC
95,11,2.0 TDI,110,DFFA
96,11,2.0 TDI,110,DTTC
97,11,2.0 TDI,110,DTTA
98,11,2.0 TDI,110,DXRB
99,11,2.0 TDI,81,CRVA
100,12,2.0 TDI,110,DFFA
101,12,2.0 TDI,110,CRMB
102,12,2.0 TDI,110,CKFC
103,12,2.0 TDI,81,CRLD
104,12,2.0 TDI,81,CRVA
105,13,2.0 TDI,110,CRMB
106,13,2.0 TDI,110,CKFC
107,14,2.0 TDI,110,DFFA
108,14,2.0 TDI,110,DFGA
109,14,2.0 TDI,110,CRMB
110,14,2.0 TDI,110,CRLB
111,14,2.0 TDI,110,CKFC
112,14,2.0 TDI,110,CRBC
113,14,2.0 TDI,81,CRVA
114,14,2.0 TDI,81,CRLD
115,14,2.0 TDI 4Drive,110,DFGA
116,14,2.0 TDI 4Drive,110,DCYA
117,14,2.0 TDI 4Drive,110,CRMB
118,14,2.0 TDI 4Drive,110,CRLB
119,14,2.0 TDI 4Drive,110,CRBC
120,15,2.0 TDI 4Drive,110,DFGA
121,15,2.0 TDI,110,DFGA
122,15,2.0 TDI,110,DTSA
123,15,2.0 TDI,110,DTSB
124,16,2.0 TDI,110,DFFA
125,16,2.0 TDI,110,DTTA
126,16,2.0 TDI 4x4,110,DFFA
127,16,2.0 TDI 4x4,110,DTTC
128,16,2.0 TDI 4x4,110,DXRB
129,17,2.0 TDI 4x4,110,DTSB
130,17,2.0 TDI 4x4,110,DBGC
131,17,2.0 TDI 4x4,110,DFGA
132,17,2.0 TDI,110,DFGA
133,17,2.0 TDI,110,DBGC
134,17,2.0 TDI,110,DTSB
135,18,2.0 TDI 4x4,110,DFFA
136,18,2.0 TDI 4x4,110,CRMB
137,18,2.0 TDI 4x4,110,DCYA
138,18,2.0 TDI 4x4,110,CKFC
139,18,2.0 TDI,110,CYKA
140,18,2.0 TDI,110,CKFC
141,18,2.0 TDI,110,CRMB
142,18,2.0 TDI,110,DFFA
143,18,2.0 TDI,110,DCYA
144,19,2.0 TDI,110,DFFA
145,19,2.0 TDI,110,CYKA
146,19,2.0 TDI,110,CKFC
147,19,2.0 TDI,110,CRMB
148,19,2.0 TDI,110,DCYA
149,19,2.0 TDI 4x4,110,CKFC
150,19,2.0 TDI 4x4,110,CRMB
151,19,2.0 TDI 4x4,110,DCYA
152,19,2.0 TDI 4x4,110,DFFA
153,20,2.0 TDI 4x4,110,CRLB
154,20,2.0 TDI 4x4,110,DFEA
155,20,2.0 TDI 4x4,110,DFGA
156,20,2.0 TDI,110,CRLB
157,20,2.0 TDI,110,DFEA
158,20,2.0 TDI,110,DFGA
159,20,2.0 TDI,110,DSRA
160,20,2.0 TDI,110,DSRB
161,20,2.0 TDI,110,DTSB
162,20,2.0 TDI,110,DTSA
163,21,2.0 TDI 4x4,110,CRLB
164,21,2.0 TDI 4x4,110,DFEA
165,21,2.0 TDI 4x4,110,DFGA
166,21,2.0 TDI,110,CRLB
167,21,2.0 TDI,110,DFEA
168,21,2.0 TDI,110,DFGA
169,21,2.0 TDI,110,DSRA
170,21,2.0 TDI,110,DSRB
171,21,2.0 TDI,110,DTSB
172,21,2.0 TDI,110,DTSA
173,22,2.0 TDI,110,DSRB
174,22,2.0 TDI,110,DFGA
175,22,2.0 TDI,110,DBGA
176,22,2.0 TDI,110,DSRA
177,22,2.0 TDI,110,DTSA
178,22,2.0 TDI,110,DTSB
179,22,2.0 TDI,110,DXPA
180,23,2.0 TDI 4motion,140,DFHA
181,24,2.0 TDI 4motion,110,CRBC
182,24,2.0 TDI 4motion,110,DCYA
183,24,2.0 TDI 4motion,110,CRLB
184,24,2.0 TDI 4motion,110,DFGA
185,25,2.0 TDI,81,DCYB
186,25,2.0 TDI,81,CRLD
187,25,2.0 TDI,81,CRVA
188,25,2.0 TDI,110,DFGA
189,25,2.0 TDI,110,DCYA
190,25,2.0 TDI,110,CRLB
191,26,2.0 TDi,110,DCYA
192,26,2.0 TDi,110,CRLB
193,26,2.0 TDi,110,CRBC
194,26,2.0 TDi 4motion,110,CRLB
195,26,2.0 TDi 4motion,110,CRBC
196,26,2.0 TDi 4motion,110,DCYA
197,27,2.0 TDI,81,DEJB
198,27,2.0 TDI,81,CYKB
199,27,2.0 TDI,81,DFGB
200,27,2.0 TDI,81,DCYB
201,27,2.0 TDI,81,CRVA
202,27,2.0 TDI,110,DFGA
203,27,2.0 TDI,110,CRMB
204,27,2.0 TDI,110,CRBC
205,27,2.0 TDI,110,DCYA
206,27,2.0 TDI,110,CRUA
207,27,2.0 TDI,110,CRLB
208,27,2.0 TDI,110,DEJA
209,27,2.0 TDI 4motion,110,CRMB
