vehicle_model_id,vehicle_make_id,name,slug
1,1,A1,a1
2,1,A3,a3
3,1,ASeria 3 Cabrio,aseria-3-cabrio
4,1,A3 Limousine,a3-limousine
5,1,A3 Sportback,a3-sportback
6,1,Q2,q2
7,1,Q3,q3
8,1,Q3 Sportback,q3-sportback
9,2,ALHAMBRA,alhambra
10,2,ALHAMBRA VAN,alhambra-van
11,2,ATECA,ateca
12,2,LEON,leon
13,2,LEON SC,leon-sc
14,2,LEON ST,leon-st
15,2,TARRACO,tarraco
16,3,KAROQ,karoq
17,3,KODIAQ I,kodiaq-i
18,3,OCTAVIA III,octavia-iii
19,3,OCTAVIA III Combi,octavia-iii-combi
20,3,SUPERB III,superb-iii
21,3,SUPERB III Estate,superb-iii-estate
22,4,ARTEON,arteon
23,4,ARTEON SHOOTING BRAKE,arteon-shooting-brake
24,4,GOLF ALLTRACK VII Variant,golf-alltrack-vii-variant
25,4,GOLF SPORTSVAN VII,golf-sportsvan-vii
26,4,GOLF VAN VII Variant,golf-van-vii-variant
27,4,GOLF VII,golf-vii
28,4,GOLF VII Van,golf-vii-van
29,4,GOLF VII Variant,golf-vii-variant
30,4,PASSAT ALLTRACK B8 Variant,passat-alltrack-b8-variant
31,4,PASSAT B8,passat-b8
32,4,PASSAT B8 Variant,passat-b8-variant
33,4,SHARAN,sharan
34,4,T-ROC,t-roc
35,4,TIGUAN,tiguan
36,4,TIGUAN ALLSPACE,tiguan-allspace
37,4,TOURAN,touran
38,5,Seria 3,seria-3
39,5,Seria 3 Cabrio,seria-3-cabrio
40,5,Seria 3 Coupe,seria-3-coupe
41,5,Seria 3 Break,seria-3-break
42,5,X3,x3
43,6,BERLINGO Box Body/MPV,berlingo-box-body-mpv
44,6,BERLINGO MULTISPACE,berlingo-multispace
45,6,C2,c2
46,6,C3 I,c3-i
47,6,C3 PICASSO,c3-picasso
48,6,C4 Coupe,c4-coupe
49,6,C4 GRAND PICASSO I,c4-grand-picasso-i
50,6,C4 I,c4-i
51,6,C4 I Saloon,c4-i-saloon
52,6,C4 PICASSO I MPV,c4-picasso-i-mpv
53,6,C5 II,c5-ii
54,6,C5 II Break,c5-ii-break
55,6,C5 II Estate Van,c5-ii-estate-van
56,6,C5 III,c5-iii
57,6,C5 III Break,c5-iii-break
58,6,XSARA PICASSO,xsara-picasso
59,7,3,3
60,7,3 Saloon,3-saloon
61,8,MINI,mini
62,8,MINI CLUBMAN,mini-clubman
63,9,1007,1007
64,9,206 CC,206-cc
65,9,206 Hatchback,206-hatchback
66,9,206 SW,206-sw
67,9,207,207
68,9,207 CC,207-cc
